id	filename	md5	size	state
eede3e86-e948-498c-8ddd-2532a197fdb3	TCGA-08-0510-01A-01-BS1.aecbceda-3dff-4db3-96be-e2863b375cdf.svs	ef69d945b4ef67ff499f1332ea5c637e	25084705	live
ecefe2ab-3d4c-4bc8-b456-6d6013463a33	TCGA-32-1978-01A-01-TS1.f07376de-b9e6-4b46-9210-407b02a3e6fd.svs	a451b4a06a470f6fad86d1e86da2b2e8	82316029	live
673c4ccc-6837-4f33-a8cb-c8cf6229e803	TCGA-02-0439-01A-01-BS1.30cdf57d-164c-4541-8ce0-ed3b4bdf3d7e.svs	aafe60c418128ebfa76e02a0c3f9d1a5	275218909	live
4407a42e-547e-4fe5-a2eb-801dd60cba12	TCGA-08-0347-01A-01-BS1.561f789b-5bb6-4206-b1cc-ce2f418f1ddc.svs	0f2f3cd6709ecf2a489367230a2eb8dd	65237655	live
9f13985a-9ca4-42ae-b559-05c12ef372f1	TCGA-14-1825-01A-01-BS1.ff510b54-4f6a-4156-a089-866f7a53c955.svs	71ac6c32da5f7f2fdd68433b5ce06031	123554701	live
729f95f6-ca8d-445e-8dfe-095fc62e5b54	TCGA-06-0166-01A-01-TS1.e85993b2-c783-4571-a562-373df206d2ff.svs	79b0dd27fb849e2a0d1b5a7c49f50884	138374151	live
768d4bc3-ec77-4a12-b18b-b62e25ba277c	TCGA-14-0740-01B-01-BS1.cd1713f1-1aa4-4a51-ad02-124a7e344bdc.svs	9c95fae1e36be0db7be7a5d40ee98cc7	43155137	live
27bb9d0a-e004-4af8-b0ed-f9ab35e81091	TCGA-32-4719-01A-01-BS1.73d5739f-772b-47d1-9073-5e99e907c2c4.svs	d60cdee92481ba59240f206ee2daa2b8	57738173	live
0b43743f-0cae-4956-9697-ac7691644b6d	TCGA-14-0789-01A-01-BS1.2f54d060-e348-4321-acdf-031fbe3773dd.svs	bdc2725394bc705ebd988e1ab8b3f9f3	151555359	live
f444f8fa-22ff-41c0-a499-11797a09992f	TCGA-12-1602-01A-01-BS1.5a2e5d0f-740e-404d-b092-96fbabfb4d5c.svs	e2bece48026d185350cc21aafd344798	151367007	live
d1d00fa4-e657-4bb7-bb48-9a2d22ff71b6	TCGA-08-0244-01A-01-TS1.5e77caf4-b87c-48fa-8927-8b2990650f94.svs	473931cd4ba1d784281148b11c9a0f43	99163693	live
cef82429-dd5d-4191-9485-368271f2f41c	TCGA-32-1970-01A-01-BS1.27a85a70-ac47-4f28-abdc-6e10917e7c07.svs	6b995a9d4a4df711f165eb2713ce551d	105364703	live
0e6424ea-ec5f-4d96-9893-981f3fc6ca79	TCGA-02-0325-01A-01-TS1.2285fee9-7052-4e72-ad36-d254bbec13a2.svs	3c8a847b77b5807094987081ff0eb4af	437456377	live
5b3711c4-04a2-443d-ace5-4dd42eb56aca	TCGA-81-5910-01A-01-BS1.5bc7cb01-f8ea-4529-b442-927e5bcf01d3.svs	ba087c83cd32ce9563705d3b1caff9f0	93424367	live
08853088-63e8-48bf-91d4-3ad0568c6fef	TCGA-12-3653-01A-01-TS1.3e30f756-0722-4fc1-8e34-7890e29e85dc.svs	8abf2db594a63b01fc20180ed4428b08	186214165	live
6e766d8f-36ed-4051-b180-3ee67d84dce0	TCGA-08-0246-01A-01-TS1.d9da6e9b-01d5-4a6b-bb77-83ae22e1d1aa.svs	d175c1d73ec63afbf67f2e4270cbedc0	88232431	live
4cc7c2d4-5af1-4b4c-bf2c-8f2f5db05c12	TCGA-02-0043-01A-01-BS1.b6477dce-0838-465a-8a95-d39c228d5aa4.svs	16e07aa29b42de6d34a89c205a237db7	556260523	live
08f10124-a962-4d22-85a3-5b7b9bde5cbf	TCGA-06-0402-01A-01-BS1.d6cda6cf-fc19-4891-9764-cf41b0537c90.svs	c7c93a44efc8af080d0b7a795d77554f	233163113	live
6e5095a4-ddf9-4e0a-8e87-77a93a4098c1	TCGA-02-0422-01A-01-TS1.3fc10cd8-3eec-4256-b722-e12d697b56e6.svs	a8fc4da03365ef39a89661eb56860c10	52331451	live
fc7988fa-58d8-4072-a69f-8d27d26c96de	TCGA-06-0238-01A-01-BS1.5085181a-70a6-4bbb-ac55-be6e058e1aca.svs	5bd8777e38791a43a40bfbf661f46975	49845093	live
f3b2b3f6-5b18-476c-9e9a-cdecaabd75f8	TCGA-28-5211-01C-01-TS1.b1ea7af4-d703-4010-9cac-2f6f5aea70fe.svs	b0d8756702f1fcd37a2c20a6955e4c6a	69207221	live
